channel,section,station_id,station_name,start_date,end_date,freq_avail,geometry,pct_complete
American River,American River,afo,American River at Fair Oaks,1998-11-02,2024-01-16,hourly,"c(-106751.724033104, 69511.5297297789)",0.9831586290141477
American River,American River,amf,American River at Folsom,1995-02-01,2001-05-08,daily,"c(-102796.698832271, 74746.0403382294)",0.8716884283468609
American River,American River,amk,South Fork American River near Kyburz,2012-10-23,2024-01-16,hourly,"c(-28210.6652323162, 83156.5567134544)",0.9944064494030809
American River,American River,cbr,South Fork American River at Chili Bar,1997-09-10,2024-01-16,hourly,"c(-70822.0811746706, 84302.2072297288)",0.9640347379371632
American River,American River,fol,Folsom Lake,1987-01-05,2024-01-16,daily,"c(-102796.698832271, 74746.0403382294)",0
American River,American River,nfd,North Fork American River at North Fork Dam,1970-01-01,2005-11-30,hourly,"c(-88662.874860765, 102705.695369237)",0.9589705277077203
American River,American River,oxb,Middle Fork American River near Oxbow Powerhouse,1997-10-21,2024-01-16,hourly,"c(-65753.3613552282, 110269.834979051)",0.9749119423475194
Antelope Creek,Antelope Creek,atc,Antelope Creek near Red Bluff,2022-06-28,2024-01-16,hourly,"c(-180336.187362019, 244998.160940634)",0.6287243150684931
Battle Creek,Battle Creek,bas,South Fork Battle Creek near Manton,2000-07-19,2024-01-16,hourly,"c(-168103.691634697, 267287.40982511)",0.7056618217811148
Battle Creek,Battle Creek,bat,Battle Creek,1986-10-01,2024-01-16,hourly,"c(-182184.600926099, 266750.282410122)",0
Battle Creek,Battle Creek,bnf,North Fork Battle Creek near Manton,2000-09-20,2024-01-16,hourly,"c(-168592.727252114, 269355.669928035)",0.7747417030639931
Battle Creek,Battle Creek,btb,South Fork Battle Creek below Diversion to Coleman Canal,2016-06-01,2024-01-16,hourly,"c(-167127.170856546, 266901.177150086)",0.9165668198093669
Battle Creek,Battle Creek,bti,South Fork Battle Creek below Diversion to Inskip Canal,2023-10-27,2024-01-16,hourly,"c(-159795.721124056, 265949.042451626)",0
Battle Creek,Battle Creek,btw,North Fork Battle Creek below Diversion to Wildcat Canal,2016-06-01,2024-01-16,hourly,"c(-166420.319912829, 268873.680526996)",0.9165668198093669
Battle Creek,Battle Creek,btx,North Fork Battle Creek below Diversion to Cross Country Canal,2023-10-27,2024-01-16,hourly,"c(-157812.893729014, 272234.616993946)",0
Bear River,Bear River,bpg,Bear River at Pleasant Grove Rd,2006-01-27,2024-01-16,hourly,"c(-128770.38283073, 108582.394661641)",0.9752794577036427
Bear River,Bear River,bre,Bear River at Rollins Reservoir,2005-10-28,2017-01-18,hourly,"c(-82308.8693061742, 124535.00851173)",0.7765557356775706
Bear River,Bear River,brw,Bear River near Wheatland,1997-01-21,2001-09-19,hourly,"c(-121763.906526161, 110235.148334106)",0.9872006745810611
Bear River,Bear River,cfw,Bear River at Camp Far West Dam,1997-08-21,2012-06-08,hourly,"c(-113781.938945979, 115670.490974416)",0.9254357201875026
Big Chico Creek,Big Chico Creek,bic,Big Chico Creek near Chico,1997-03-20,2024-01-16,hourly,"c(-152283.719707983, 196159.09438525)",0.8514719090519269
Butte Creek,Butte Creek,bcd,Butte Creek near Durham,1997-03-23,2024-01-16,hourly,"c(-152375.969857851, 186114.559413189)",0.9253559034275686
