Tributary ,Section,Gage,Min Date,Max Date,station_name
American River,American River,11446500,1/10/1862,12/30/21,American R a Fair Oaks CA
American River,American River,11427000,1/27/42,10/25/21,NF American R a North Fork Dam CAÊ
Antelope Creek,Antelope Creek,11379000,10/1/40,9/9/82,ANTELOPE C NR RED BLUFF CA
Battle Creek,Battle Creek,11376550,12/1/61,3/14/23,BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA
Bear Creek,Bear Creek,11451715,2/2/92,3/14/23,Bear C AB Holsten Chimney Cyn NR Rumsey CA
Bear River,Bear River,11424000,2/4/28,12/27/21,BEAR R NR WHEATLAND CA
Butte Creek,Butte Creek,11390000,1/23/31,3/14/23,BUTTE C NR CHICO CA
Big Chico Creek,Big Chico Creek,11384000,10/1/30,9/30/86,BIG CHICO C NR CHICO CA
Calaveras River,Calaveras River,11308900,2/1/61,9/30/90,CALAVERAS R BL NEW HOGAN DAM NR VALLEY SPRINGS CA
Calaveras River,Calaveras River,11309500,1/1/07,9/29/66,CALAVERAS R A JENNY LIND CA
Clear Creek ,Clear Creek ,11372000,3/1/41,1/14/23,CLEAR C NR IGO CA
Consumes River,Consumes River,11335000,10/1/07,1/21/24,Cosumnes R a Michigan Bar CA
Cottonwood Creek,Cottonwood Creek,11376000,10/1/40,11/14/22,Cottonwood C NR Cottonwood CA
Cow Creek,Cow Creek,11374000,10/1/88,1/19/24,Cow C NR Millville CA
Deer Creek,Deer Creek,11383500,10/1/88,1/20/24,Deer C NR Vina CAÊ
Elder Creek,Elder Creek,11475560,10/1/88,1/21/24,Elder C NR Branscomb CA
Feather River,West Branch Feather River,11405200,8/27/86,9/30/23,WB FEATHER R BL HENDRICKS DIV DAM CA
Feather River,West Branch Feather River,11405085,4/22/86,8/29/23,WB FEATHER R BL SNAG LK NR JONESVILLE CA
Feather River,North Fork Feather River,11404500,4/1/11,9/30/22,NF FEATHER R A PULGA CA
Feather River,North Fork Feather River,11404330,9/30/85,9/30/22,NF FEATHER R BL GRIZZLY C CA
Feather River,North Fork Feather River,11403200,9/30/85,9/30/22,NF FEATHER R BL ROCK C DIV DAM CA
Feather River,North Fork Feather River,11401112,10/1/68,9/30/22,NF FEATHER R BL BELDEN DAM CA
Feather River,North Fork Feather River,11399500,1/1/06,9/30/22,NF FEATHER R NR PRATTVILLE CA
Feather River,Middle Fork Feather River,11394000,10/1/23,9/29/32,MF FEATHER R NR NELSON POINT CA
Feather River,Middle Fork Feather River,11393500,4/1/41,9/29/62,MF FEATHER R BL SLOAT CA
Feather River,Middle Fork Feather River,11393000,10/1/10,9/29/27,MF FEATHER R A SLOAT CA
Feather River,Middle Fork Feather River,11392500,10/1/63,3/31/82,MF FEATHER R NR CLIO CA
Feather River,Middle Fork Feather River,11392100,10/1/68,9/29/80,MF FEATHER R NR PORTOLA CA
Feather River,South Fork Feather River,11396200,9/30/62,9/30/22,SF FEATHER R BL FORBESTOWN DAM CA
Feather River,South Fork Feather River,11395200,10/1/60,9/30/22,SF FEATHER R BL DIV DAM NR STRAWBERRY VALLEY CA
Feather River,South Fork Feather River,11395030,10/1/27,9/30/22,SF FEATHER R BL LITTLE GRASS VALLEY DAM CA
Feather River,Lower Feather River,11407000,10/1/01,9/30/22,FEATHER R A OROVILLE CA
Feather River,Lower Feather River,11406920,11/16/67,9/30/22,THERMALITO AFTERBAY REL TO FEATHER R NR OROVILLE
Sacramento River,Lower Sacramento River,11447890,12/22/92,1/19/24,SACRAMENTO R AB DELTA CROSS CHANNEL CA
Sacramento River,Lower Sacramento River,11447905,1/8/93,1/20/24,SACRAMENTO R BL GEORGIANA SLOUGH CA
Sacramento River,Lower Sacramento River,11447903,9/19/01,1/21/24,GEORGIANA SLOUGH NR SACRAMENTO R
Sacramento River,Lower Sacramento River,11447650,10/1/48,9/30/15,SACRAMENTO R A FREEPORT CA
Sacramento River,Lower-mid Sacramento River,11425500,10/1/29,1/18/24,SACRAMENTO R A VERONA CA
Sacramento River,Lower-mid Sacramento River,11390500,10/1/38,1/18/24,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA
Sacramento River,Lower-mid Sacramento River,11389500,4/11/21,1/18/24,SACRAMENTO R A COLUSA CA
Merced River,Merced River,11268500,10/1/22,9/29/66,MERCED R A BAGBY CA
Merced River,Merced River,11268200,10/1/65,10/8/74,MERCED R NR BRICEBURG CA
Merced River,Merced River,11266500,10/1/16,1/21/24,MERCED R A POHONO BRIDGE NR YOSEMITE CA
Merced River,Merced River,11265500,4/1/12,9/29/17,MERCED R A YOSEMITE CA
Merced River,Merced River,11264500,8/23/15,1/21/24,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
Mill Creek,Mill Creek,11381500,10/1/28,10/3/23,MILL C NR LOS MOLINOS CA
Mokelumne River,Mokelumne River,11336930,6/25/06,1/18/24,MOKELUMNE R A ANDRUS ISLAND NR TERMINOUS CA
Paynes Creek,Paynes Creek,11377500,10/1/49,10/31/66,PAYNES C NR RED BLUFF CA
San Joaquin River,San Joaquin River,11337190,5/14/94,1/16/24,SAN JOAQUIN R A JERSEY POINT CA
San Joaquin River,San Joaquin River,11304810,8/20/95,1/16/24,SAN JOAQUIN R BL GARWOOD BRIDGE A STOCKTON CA
San Joaquin River,San Joaquin River,11274550,10/1/95,1/18/24,SAN JOAQUIN R NR CROWS LANDING CA
San Joaquin River,San Joaquin River,11303500,10/1/23,1/18/24,SAN JOAQUIN R NR VERNALIS CA
San Joaquin River,San Joaquin River,11337190,5/14/94,1/16/24,SAN JOAQUIN R A JERSEY POINT CA
San Joaquin River,San Joaquin River,11313460,6/29/06,1/16/24,SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA
San Joaquin River,San Joaquin River,11273400,8/28/09,1/18/24,SAN JOAQUIN R AB MERCED R NR NEWMAN CA
San Joaquin River,San Joaquin River,11274000,5/1/12,1/18/24,SAN JOAQUIN R NR NEWMAN CA
San Joaquin River,San Joaquin River,11261500,4/1/37,1/18/24,SAN JOAQUIN R A FREMONT FORD BRIDGE CA
San Joaquin River,San Joaquin River,11251000,10/1/07,1/18/24,SAN JOAQUIN R BL FRIANT CA
San Joaquin River,San Joaquin River Middle fork,11224000,10/27/09,1/18/24,MF SAN JOAQUIN R NR MAMMOTH LAKES CA
